id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,parent_court_id
"nc",,,"",,"","2016-09-08 20:38:41.131652+00","t","t","f","366.97","N.C.","Supreme Court of North Carolina","Supreme Court of North Carolina","http://www.nccourts.org/courts/appellate/supreme/","1799-01-01",,"S","Created by Lawbox
Start date: http://www.carolana.com/NC/Courts/nc_supreme_court_history.html",
"minnag",,,"",,"","2017-02-01 17:56:35.255825+00","t","t","f","365.4","Minn. Att'y Gen.","Minnesota Attorney General Reports","Minnesota Attorney General Reports","http://www.ag.state.mn.us/office/opinions/DATE.asp",,,"SAG","",
"arizsuper",,,"",,"","2017-10-02 21:06:41.874279+00","f","f","f","322.3","Ariz. Super. Ct.","Arizona Superior Court","Arizona Superior Court","http://www.azcourts.gov/AZ-Courts/Superior-Court",,,"ST","",
"vtsuperct",,,"",,"","2018-04-23 23:31:46.174336+00","t","t","f","369.25","Vt. Super. Ct. ","Vermont Superior Court","Vermont Superior Court","https://www.vermontjudiciary.org/court-divisions",,,"SA","",
"mesuperct",,,"",,"","2023-12-29 00:48:23.212737+00","t","t","f","362.56","Me. Super. Ct","Maine Superior","Superior Court of Maine","",,,"ST","",
"moctapped",,,"",,"","2024-06-18 14:46:56.61955+00","f","f","f","366.052","","Mo. Ct. of App, East. Dist.","Missouri Court of Appeals, Eastern District","",,,"SA","","moctapp"
"mtd","111","t","all",,"77","2024-11-11 10:49:18.668232+00","t","t","f","242.19","D. Mont.","D. Montana","District Court, D. Montana","http://www.mtd.uscourts.gov/",,,"FD","Lawbox",
"gaoyertermct",,,"",,"","2022-02-04 15:07:03.536707+00","f","f","f","356.05","","Georgia Court of Oyer and Terminer","Georgia Court of Oyer and Terminer","",,,"SS","",
"ncbizct",,,"",,"","2025-05-20 18:54:04.786775+00","t","t","f","366.986","N.C. Bus. Ct.","North Carolina Business Court","North Carolina Business Court","",,,"SS","",
"ganb","54","t","all",,"3E","2020-07-28 06:18:28.575134+00","t","f","f","179.9","Bankr. N.D. Ga.","N.D. Georgia","United States Bankruptcy Court, N.D. Georgia","http://www.ganb.uscourts.gov/",,,"FB","Lawbox",
"alaska",,,"",,"","2013-08-14 16:46:30+00","t","t","f","320","Alaska","Alaska Supreme Court","Alaska Supreme Court","http://courts.alaska.gov/sp.htm","1959-01-03",,"S","",
"alaskactapp",,,"",,"","2014-09-02 23:00:12.56+00","t","t","f","321","Alaska Ct. App.","Court of Appeals of Alaska","Court of Appeals of Alaska","http://courts.alaska.gov/appcts.htm","1980-07-01",,"SA","Lawbox",
"ariz",,,"",,"","2013-08-14 16:46:30+00","t","t","f","322","Ariz.","Arizona Supreme Court","Arizona Supreme Court","http://www.azcourts.gov/azsupremecourt.aspx","1912-01-01",,"S","",
"arizctapp",,,"",,"","2013-10-16 18:58:49.362+00","t","t","f","322.2","Ariz. Ct. App.","Court of Appeals of Arizona","Court of Appeals of Arizona","http://www.azcourts.gov/AZCourts/CourtofAppeals.aspx‎","1965-01-01",,"SA","Lawbox",
"ariztaxct",,,"",,"","2013-08-14 22:42:28+00","t","f","f","323","Ariz. T.C.","Arizona Tax Court","Arizona Tax Court","http://www.superiorcourt.maricopa.gov/SuperiorCourt/TaxCourt/",,,"SS","Lawbox",
"ark",,,"",,"","2013-09-09 01:32:48+00","t","t","f","330","Ark.","Supreme Court of Arkansas","Supreme Court of Arkansas","https://courts.arkansas.gov/courts/supreme-court","1841-01-01",,"S","Lawbox, Scraper created 2013-08-11.",
"arkag",,,"",,"","2016-05-18 20:01:59.649+00","t","f","f","345","Ark. Att'y Gen.","Arkansas Attorney General Reports","Arkansas Attorney General Reports","http://www.arkansasag.gov/",,,"SAG","",
"arkctapp",,,"",,"","2013-09-09 17:36:41+00","t","t","f","331","Ark. Ct. App.","Court of Appeals of Arkansas","Court of Appeals of Arkansas","https://courts.arkansas.gov/courts/court-of-appeals","1979-08-08",,"SA","Lawbox",
"minnctapp",,,"",,"","2016-09-08 20:39:34.85087+00","t","t","f","365.3","Minn. Ct. App.","Court of Appeals of Minnesota","Court of Appeals of Minnesota","http://www.mncourts.gov/?page=551","1983-11-01",,"SA","Created by Lawbox
Start date: http://www.mncourts.gov/CourtOfAppeals.aspx",
"arkworkcompcom",,,"",,"","2016-05-18 17:52:50.471+00","t","f","f","340","Ark. Workers' Comp.","Arkansas Workers' Compensation Commission","Arkansas Workers' Compensation Commission","http://www.awcc.state.ar.us/",,,"SS","",
"moeb","106","t","all",,"65","2020-07-28 06:11:07.325795+00","t","f","f","189.4","Bankr. E.D. Mo.","E.D. Missouri","United States Bankruptcy Court, E.D. Missouri","http://www.moeb.uscourts.gov/",,,"FB","Lawbox",
"nysurctbronx",,,"",,"","2024-01-10 17:14:59.674172+00","f","f","f","366.966502","N.Y. Surr. Ct., Bronx, Cty.","Bronx Surrogate's Court","Surrogate's Court, Bronx County","",,,"ST","","nysurct"
"flsb","50","t","all",,"3C","2020-07-28 06:12:21.149994+00","t","f","f","177","Bankr. S.D. Florida","S.D. Florida","United States Bankruptcy Court, S.D. Florida.","http://www.flsb.uscourts.gov/",,,"FB","Lawbox",
"scb","162","t","all",,"20","2020-07-28 06:13:10.23793+00","t","f","f","194.8","Bankr. D.S.C.","D. South Carolina","United States Bankruptcy Court, D. South Carolina","http://www.scb.uscourts.gov/",,,"FB","Lawbox",
"wvnb","198","t","all",,"24","2020-07-28 06:14:09.357425+00","t","f","f","198.8","Bankr. N.D.W. Va.","N.D. West Virginia","United States Bankruptcy Court, N.D. West Virginia","http://www.wvnd.uscourts.gov/",,,"FB","Lawbox",
"flmb","46","t","answer,appeal,court,motion,order,misc,caseupld,trustee",,"3A","2020-07-28 06:14:19.00911+00","t","f","f","176.9","Bankr. M.D. Fla.","M.D. Florida","United States Bankruptcy Court, M.D. Florida","http://www.flmb.uscourts.gov/",,,"FB","Lawbox",
"hib","60","t","appeal,motion,order,misc",,"75","2020-07-28 06:15:09.853561+00","t","f","f","180.05","Bankr. D. Haw.","D. Hawaii","United States Bankruptcy Court, D. Hawaii","http://www.hib.uscourts.gov/",,,"FB","Lawbox",
"ilsb","68","t","all",,"54","2020-07-28 06:15:11.0198+00","t","f","f","183.1","Bankr. S.D. Ill.","S.D. Illinois","United States Bankruptcy Court, S.D. Illinois","http://www.ilsb.uscourts.gov/",,,"FB","Lawbox",
"mnb","100","t","all",,"64","2020-07-28 06:15:12.320578+00","t","f","f","189.3","Bankr. D. Minn.","D. Minnesota","United States Bankruptcy Court, D. Minnesota","http://www.mnb.uscourts.gov/",,,"FB","Lawbox",
"ksb","78","t","all",,"83","2020-07-28 06:15:13.246956+00","t","f","f","187","Bankr. D. Kan.","D. Kansas","United States Bankruptcy Court, D. Kansas","http://www.ksb.uscourts.gov/",,,"FB","Lawbox",
"asbca",,,"",,"","2014-09-19 01:15:36.995+00","t","t","f","113.1","A.S.B.C.A.","Armed Services Board of Contract Appeals","Armed Services Board of Contract Appeals","http://www.asbca.mil/",,,"FS","",
"ald",,,"",,"","2023-10-03 01:23:43.583231+00","f","f","f","200.9","D. Ala.","D. Alabama","District Court, D. Alabama","","1820-04-21","1824-03-10","FD","https://en.wikipedia.org/wiki/List_of_former_United_States_district_courts#Alabama","usdistct"
"nysurctbroome",,,"",,"","2024-01-10 17:14:59.678053+00","f","f","f","366.966503","N.Y. Surr. Ct., Broome Cty.","Broome Surrogate's Court","Surrogate's Court, Broome County","",,,"ST","","nysurct"
"nysurctcattar",,,"",,"","2024-01-10 17:14:59.680966+00","f","f","f","366.966504","N.Y. Surr. Ct., Cattaraugus Cty.","Cattaraugus Surrogate's Court","Surrogate's Court, Cattaraugus County","",,,"ST","","nysurct"
"nysurctchauta",,,"",,"","2024-01-10 17:14:59.683733+00","f","f","f","366.966505","N.Y. Surr. Ct., Chautauqua Cty.","Chautauqua Surrogate's Court","Surrogate's Court, Chautauqua County","",,,"ST","","nysurct"
"nysurctcortland",,,"",,"","2024-01-10 17:14:59.686281+00","f","f","f","366.966506","N.Y. Surr. Ct., Cortland Cty.","Cortland Surrogate's Court","Surrogate's Court, Cortland County","",,,"ST","","nysurct"
"nysurctdelaware",,,"",,"","2024-01-10 17:14:59.688944+00","f","f","f","366.966507","N.Y. Surr. Ct., Delaware Cty.","Delaware Surrogate's Court","Surrogate's Court, Delaware County","",,,"ST","","nysurct"
"nysurctdutchess",,,"",,"","2024-01-10 17:14:59.691638+00","f","f","f","366.966508","N.Y. Surr. Ct., Dutchess Cty.","Dutchess Surrogate's Court","Surrogate's Court, Dutchess County","",,,"ST","","nysurct"
"nysurcterie",,,"",,"","2024-01-10 17:14:59.694195+00","f","f","f","366.966509","N.Y. Surr. Ct., Erie Cty.","Erie Surrogate's Court","Surrogate's Court, Erie County","",,,"ST","","nysurct"
"nysurctessex",,,"",,"","2024-01-10 17:14:59.69667+00","f","f","f","366.96651","N.Y. Surr. Ct., Essex Cty.","Essex Surrogate's Court","Surrogate's Court, Essex County","",,,"ST","","nysurct"
"moctappsd",,,"",,"","2024-06-18 14:48:03.904887+00","f","f","f","366.054","","Mo. Ct. App., So. Dist.","Missouri Court of Appeals, Southern District","",,,"SA","","moctapp"
"bap10",,,"",,"","2014-09-02 22:59:57.169+00","t","t","f","154.1","10th Cir. BAP","Tenth Circuit","Bankruptcy Appellate Panel of the Tenth Circuit","http://www.bap10.uscourts.gov/",,,"FBP","Lawbox",
"bap2",,,"",,"","2013-10-25 01:28:18.159+00","t","f","f","150.1","2d Cir. BAP","Second Circuit","Bankruptcy Appellate Panel of the Second Circuit","http://www.bap2.uscourts.gov/",,,"FBP","Lawbox",
"txctapp13A",,,"",,"","2023-10-03 01:24:08.647516+00","f","f","f","368.70222","","Tex. App. Ct., 13th Dist. (Corpus Christi)","Texas Court of Appeals, 13th District (Corpus Christi)","http://www.txcourts.gov/13thcoa.aspx",,,"SA","","texapp"
"ttab",,,"",,"","2026-03-25 21:22:31.410039+00","t","t","f","113.7","T.T.A.B.","Trademark Trial and Appeal Board","Trademark Trial and Appeal Board","https://www.uspto.gov/trademarks/ttab","1958-01-01",,"FS","Administrative body within the USPTO that determines registrability of trademarks.",
"bap9",,,"",,"","2013-10-25 01:28:35.262+00","t","t","f","154","9th Cir. BAP","Ninth Circuit","United States Bankruptcy Appellate Panel for the Ninth Circuit","http://www.ca9.uscourts.gov/bap/",,,"FBP","",
"bapma",,,"",,"","2013-10-25 01:28:53.666+00","t","f","f","154.16","Mass. BAP","Massachusetts","Bankruptcy Appellate Panel of Massachusetts","http://www.uscourts.gov/",,,"FBP","Lawbox",
"bapme",,,"",,"","2013-10-25 01:28:48.311+00","t","f","f","154.15","Me. BAP","D. Maine","Bankruptcy Appellate Panel, D. Maine","http://www.meb.uscourts.gov/",,,"FBP","Lawbox",
"ndctapp",,,"",,"","2024-11-25 14:29:56.8781+00","t","f","f","366.991","N.D. Ct. App.","North Dakota Court of Appeals","North Dakota Court of Appeals","http://www.ndcourts.gov/default.htm","1987-09-01",,"SA","",
"arb","24","t","all",,"70","2020-07-28 06:16:18.08665+00","t","f","f","157.1","Bankr. D. Ariz.","D. Arizona","United States Bankruptcy Court, D. Arizona","https://ecf.azb.uscourts.gov/",,,"FB","Lawbox",
"flacirct",,,"",,"","2021-09-02 23:10:10.39234+00","f","f","f","355.18","Fla. Cir. Ct.","Florida Circuit Courts","Circuit Court for the Judicial Circuits of Florida","","1973-01-01",,"ST","",
"ortc",,,"",,"","2024-10-11 13:29:45.470914+00","t","t","f","367.11","Or. T.C.","Oregon Tax Court","Oregon Tax Court","http://courts.oregon.gov/Tax/Pages/index.aspx",,,"SS","",
"flactyct",,,"",,"","2021-09-02 23:16:39.541695+00","f","f","f","355.0299","Fla. Cty. Ct.","Florida County Courts","Florida County Courts","",,"1972-12-31","ST","",
"bap6",,,"",,"","2025-08-26 02:04:39.741823+00","t","t","f","152","6th Cir. BAP","Sixth Circuit","Bankruptcy Appellate Panel of the Sixth Circuit","http://www.bap6.uscourts.gov/",,,"FBP","Lawbox",
"okla",,,"",,"","2016-09-08 20:40:27.897688+00","t","t","f","366.999","Okla.","Supreme Court of Oklahoma","Supreme Court of Oklahoma","http://www.oscn.net/oscn/schome/start.htm","1884-01-01",,"S","Created by Lawbox
Start date based on earliest case.",
"cal",,,"",,"","2013-08-14 16:46:30+00","t","t","f","350","Cal.","California Supreme Court","California Supreme Court","http://www.courts.ca.gov/supremecourt.htm","1849-01-01",,"S","",
"calappdeptsuper",,,"",,"","2016-05-18 18:54:40.877+00","t","f","f","350.3","Cal. App. Dep’t Super. Ct.","Appellate Division of the Superior Court of California","Appellate Division of the Superior Court of California","http://www.courts.ca.gov/12430.htm",,,"SA","",
"calctapp",,,"",,"","2014-05-23 15:31:20.59+00","t","t","f","350.1","Cal. Ct. App.","California Court of Appeal","California Court of Appeal","http://www.courts.ca.gov/courtsofappeal.htm","1905-04-10",,"SA","Lawbox",
"miwb","98","f","",,"46","2013-08-15 00:48:40+00","t","f","f","189.2","Bankr. W.D. Mich.","W.D. Michigan","United States Bankruptcy Court, W.D. Michigan","http://www.miwb.uscourts.gov/",,,"FB","Lawbox",
"cavc",,,"",,"","2013-08-14 22:20:17+00","t","t","f","115","Vet. App.","Veterans Claims","United States Court of Appeals for Veterans Claims","http://www.uscourts.cavc.gov/",,,"FS","",
"cc",,,"",,"","2013-10-18 00:47:36.613+00","t","f","f","113.5","Ct. Cl.","Court of Claims","United States Court of Claims","http://www.fjc.gov/history/home.nsf/page/courts_special_coc.html","1855-02-24","1992-10-29","FS","",
"ccpa",,,"",,"","2013-08-14 22:19:17+00","t","f","f","114","C.C.P.A.","Customs and Patent Appeals","Court of Customs and Patent Appeals","http://www.cafc.uscourts.gov/","1909-08-05","1982-04-02","FS","",
"cjdpa",,,"",,"","2013-10-30 06:08:47.628+00","t","f","f","367.26","Ct. Jud. Disc. Pa","Judicial Discipline of Pennsylvania","Court of Judicial Discipline of Pennsylvania","http://www.pacourts.us/courts/court-of-judicial-discipline‎",,,"SS","Lawbox",
"colo",,,"",,"","2014-07-11 20:49:42.75+00","t","t","f","350.9","Colo.","Supreme Court of Colorado","Supreme Court of Colorado","http://www.coloradosupremecourt.com/","1876-08-01",,"S","Lawbox",
"coloag",,,"",,"","2016-05-18 20:04:31.403+00","t","f","f","351.3","Colo. Att'y Gen.","Colorado Attorney General Reports","Colorado Attorney General Reports","http://coag.gov/",,,"SAG","",
"coloctapp",,,"",,"","2014-07-11 20:49:49.197+00","t","t","f","351","Colo. Ct. App.","Colorado Court of Appeals","Colorado Court of Appeals","http://www.courts.state.co.us/Courts/Court_Of_Appeals/","1970-01-01",,"SA","Lawbox",
"nynb","124","t","all",,"06","2020-07-28 06:12:08.53756+00","t","f","f","190.05","Bankr. N.D.N.Y.","N.D. New York","United States Bankruptcy Court, N.D. New York","http://www.nynb.uscourts.gov/",,,"FB","Lawbox",
"ncwb","134","t","answer,appeal,court,motion,order",,"19","2020-07-28 06:14:09.662261+00","t","f","f","190.45","Bankr. W.D.N.C.","W.D. North Carolina","United States Bankruptcy Court, W.D. North Carolina","http://www.ncwb.uscourts.gov/",,,"FB","Lawbox",
"almb","16","t","answer,appeal,court,motion,order,caseupld,misc",,"27","2020-07-28 06:14:10.01548+00","t","f","f","155","Bankr. M.D. Ala.","M.D. Alabama","United States Bankruptcy Court, M.D. Alabama","http://www.almb.uscourts.gov/",,,"FB","Lawbox",
"ohnb","140","t","all",,"47","2020-07-28 06:14:17.00295+00","t","f","f","190.6","Bankr. N.D. Ohio","N.D. Ohio","United States Bankruptcy Court, N.D. Ohio","http://www.ohnb.uscourts.gov/",,,"FB","Lawbox",
"innb","70","t","answer,appeal,motion,notice,order,plan",,"55","2020-07-28 06:15:11.303044+00","t","f","f","183.15","Bankr. N.D. Ind.","N.D. Indiana","United States Bankruptcy Court, N.D. Indiana","http://www.innb.uscourts.gov/",,,"FB","Lawbox",
"calag",,,"",,"","2024-01-09 19:20:24.802286+00","t","t","f","350.5","Cal. Att'y Gen.","California Attorney General Reports","California Attorney General Reports","https://oag.ca.gov/",,,"SAG","",
"nysurctfranklin",,,"",,"","2024-01-10 17:14:59.699143+00","f","f","f","366.966511","N.Y. Surr. Ct., Franklin Cty.","Franklin Surrogate's Court","Surrogate's Court, Franklin County","",,,"ST","","nysurct"
"coloworkcompcom",,,"",,"","2016-05-18 18:04:37.69+00","t","f","f","351.2","Colo. Indus. Cl. App.","Colorado Industrial Claim Appeals Office","Colorado Industrial Claim Appeals Office","https://www.colorado.gov/pacific/cdle/icao-wc",,,"SS","",
"calmunct",,,"",,"","2023-10-02 15:46:26.413562+00","f","f","f","350.7","","Municipal Court of California","Municipal Court of California","",,,"ST","",
"californiad",,,"",,"","2023-10-03 01:23:43.709578+00","t","f","f","205","D. Cal.","D. California","District Court, D. California","http://www.uscourts.gov/","1866-07-27","1886-08-05","FD","Lawbox","usdistct"
"nysurctgenesee",,,"",,"","2024-01-10 17:14:59.70174+00","f","f","f","366.966512","N.Y. Surr. Ct., Genesee Cty.","Genesee Surrogate's Court","Surrogate's Court, Genesee County","",,,"ST","","nysurct"
"nysurctkings",,,"",,"","2024-01-10 17:14:59.706814+00","f","f","f","366.966514","N.Y. Surr. Ct., Kings Cty.","Kings Surrogate's Court","Surrogate's Court, Kings County","",,,"ST","","nysurct"
"nysurctmadison",,,"",,"","2024-01-10 17:14:59.70955+00","f","f","f","366.966515","N.Y. Surr. Ct., Madison Cty.","Madison Surrogate's Court","Surrogate's Court, Madison County","",,,"ST","","nysurct"
"nysurctmonroe",,,"",,"","2024-01-10 17:14:59.712173+00","f","f","f","366.966516","N.Y. Surr. Ct., Monroe Cty.","Monroe Surrogate's Court","Surrogate's Court, Monroe County","",,,"ST","","nysurct"
"nysurctnassau",,,"",,"","2024-01-10 17:14:59.714644+00","f","f","f","366.966517","N.Y. Surr. Ct., Nassau Cty.","Nassau Surrogate's Court","Surrogate's Court, Nassau County","",,,"ST","","nysurct"
"com",,,"",,"","2013-08-14 22:19:08+00","t","f","f","113.9","Comm. Ct.","Commerce Court","Commerce Court","http://www.fjc.gov/history/home.nsf/page/courts_special_com.html","1910-01-01","1913-01-01","FS","",
"conn",,,"",,"","2014-07-17 21:35:19.385+00","t","t","f","351.5","Conn.","Supreme Court of Connecticut","Supreme Court of Connecticut","http://www.jud.state.ct.us/external/supapp/","1784-01-01",,"S","Lawbox",
"connappct",,,"",,"","2014-07-17 21:35:30.195+00","t","t","f","351.6","Conn. App. Ct.","Connecticut Appellate Court","Connecticut Appellate Court","http://www.jud.ct.gov/external/supapp/appellate.htm‎","1983-10-04",,"SA","Lawbox",
"connsuperct",,,"",,"","2013-10-16 22:03:58.049+00","t","f","f","351.7","Conn. Super. Ct.","Connecticut Superior Court","Connecticut Superior Court","http://www.jud.ct.gov/external/super/‎",,,"SA","Lawbox",
"connworkcompcom",,,"",,"","2016-05-18 18:09:20.53+00","t","f","f","351.8","Conn. Comp. Rev. Bd.","Connecticut Compensation Review Board","Connecticut Compensation Review Board","http://wcc.state.ct.us/crb/menus/crb-opin.htm",,,"SS","",
"cusc",,,"",,"","2014-06-19 00:34:16.654+00","t","f","f","114.1","Cust. Ct.","U.S. Customs Court","United States Customs Court","http://www.fjc.gov/history/home.nsf/page/courts_special_cc_bib.html","1926-01-01","1980-01-01","FS","",
"lasuperct",,,"",,"","2022-02-04 15:07:03.54977+00","f","f","f","362.511","","Superior Court of Louisiana","Superior Court of Louisiana","",,,"ST","",
"del",,,"",,"","2016-09-08 20:39:19.377323+00","t","t","f","352","Del.","Supreme Court of Delaware","Supreme Court of Delaware","http://courts.delaware.gov/supreme/","1832-01-01",,"S","Created by Lawbox
Start date: http://courts.delaware.gov/superior/aboutus/history3.aspx",
"moctappwd",,,"",,"","2024-06-18 14:48:49.376874+00","f","f","f","366.056","","Mo. Ct. App., West. Dist.","Missouri Court of Appeals, Western District","",,,"SA","","moctapp"
"texcommnapp",,,"",,"","2021-09-08 23:28:12.593888+00","f","f","f","368.1","Tex. Comm'n App.","Texas Commission of Appeals","Texas Commission of Appeals","","1918-01-01","1945-12-31","SS","\"One of three Commissions established over the years to alleviate case load on the Texas Supreme Court.",
"delctcompl",,,"",,"","2014-08-04 22:09:53.375+00","t","t","f","353.55","Del. Ct. Com. Pl.","Delaware Court of Common Pleas","Delaware Court of Common Pleas","http://courts.delaware.gov/commonpleas/",,,"SS","",
"delfamct",,,"",,"","2013-10-16 21:32:24.279+00","t","f","f","353.59","Del. Fm. Ct.","Delaware Family Court","Delaware Family Court","http://courts.delaware.gov/family/‎",,,"SS","Lawbox",
"deljudct",,,"",,"","2013-10-30 06:19:05.675+00","t","f","f","353.595","Ct. Jud. Del.","Court on the Judiciary of Delaware","Court on the Judiciary of Delaware.","http://courts.delaware.gov/‎",,,"SS","Lawbox",
"eca",,,"",,"","2013-08-14 22:20:25+00","t","f","f","116","Emer. Ct. App.","Emergency Court of Appeals","Emergency Court of Appeals","https://secure.wikimedia.org/wikipedia/en/wiki/Emergency_Court_of_Appeals","1942-01-30","1962-04-18","FS","",
"fisc",,,"",,"","2014-05-27 15:58:47.57+00","t","f","f","140.1","FISA Ct.","Foreign Intelligence Surveillance Court","Foreign Intelligence Surveillance Court","http://www.fisc.uscourts.gov/","1978-10-25",,"FS","Added a bit late to the collection due to Mike's mistaken thought that FISC and FISCR were just two names for the same thing.",
"fiscr",,,"",,"","2014-05-27 15:58:53.457+00","t","f","f","140","FISA Ct. Rev.","Foreign Intelligence Surveillance Court of Review","Foreign Intelligence Surveillance Court of Review","http://www.fisc.uscourts.gov/","1978-10-25",,"FS","",
"fla",,,"",,"","2014-08-01 16:49:22.115+00","t","t","f","354","Fla.","Supreme Court of Florida","Supreme Court of Florida","http://www.floridasupremecourt.org/","1845-01-01",,"S","Lawbox",
"flaag",,,"",,"","2016-05-18 20:05:17.583+00","t","f","f","355.1","Fla. Att'y Gen.","Florida Attorney General Reports","Florida Attorney General Reports","http://www.myfloridalegal.com/",,,"SAG","",
"fladistctapp",,,"",,"","2014-08-01 16:49:33.319+00","t","t","f","355","Fla. Dist. Ct. App.","District Court of Appeal of Florida","District Court of Appeal of Florida","http://www.flcourts.org/courts/dca/dca.shtml","1957-01-01",,"SA","Lawbox",
"ga",,,"",,"","2014-08-01 17:11:53.684+00","t","t","f","355.5","Ga.","Supreme Court of Georgia","Supreme Court of Georgia","http://www.gasupreme.us/","1841-01-01",,"S","Lawbox",
"gactapp",,,"",,"","2016-06-29 18:08:03.334+00","t","t","f","356","Ga. Ct. App.","Court of Appeals of Georgia","Court of Appeals of Georgia","http://www.gaappeals.us/","1906-11-06",,"SA","Lawbox",
"haw",,,"",,"","2013-08-14 16:46:30+00","t","t","f","359","Haw.","Hawaii Supreme Court","Hawaii Supreme Court","http://www.courts.state.hi.us/","1840-10-08",,"S","",
"hawapp",,,"",,"","2013-08-14 22:42:16+00","t","t","f","359.1","Haw. App.","Hawaii Intermediate Court of Appeals","Hawaii Intermediate Court of Appeals","http://www.courts.state.hi.us/","1979-11-06",,"SA","",
"idaho",,,"",,"","2013-08-14 16:46:30+00","t","t","f","359.2","Idaho","Idaho Supreme Court","Idaho Supreme Court","http://www.isc.idaho.gov/","1863-01-01",,"S","",
"idahoctapp",,,"",,"","2013-08-14 22:42:09+00","t","t","f","359.25","Idaho Ct. App.","Idaho Court of Appeals","Idaho Court of Appeals","http://www.isc.idaho.gov/","1982-01-04",,"SA","",
"ill",,,"",,"","2013-09-07 21:34:46+00","t","t","f","359.5","Ill.","Illinois Supreme Court","Illinois Supreme Court","http://www.state.il.us/court/","1841-01-01",,"S","All coverage from Lawbox.",
"ind",,,"",,"","2013-08-14 16:46:30+00","t","t","f","360","Ind.","Indiana Supreme Court","Indiana Supreme Court","http://www.in.gov/judiciary/supreme/","1816-01-01",,"S","",
"delsuperct",,,"",,"","2024-01-09 19:19:18.792171+00","t","t","f","353.5","Del. Super. Ct.","Superior Court of Delaware","Superior Court of Delaware","http://courts.delaware.gov/Superior/",,,"SA","Lawbox",
"nysurctnyc",,,"",,"","2024-01-10 17:14:59.71709+00","f","f","f","366.966518","N.Y. Surr. Ct., New York Cty.","New York Surrogate's Court","Surrogate's Court, New York County","",,,"ST","","nysurct"
"indtc",,,"",,"","2014-09-08 20:26:30.211+00","t","t","f","360.2","Ind. T.C.","Indiana Tax Court","Indiana Tax Court","http://www.in.gov/judiciary/tax/",,,"SS","",
"iowa",,,"",,"","2014-08-01 18:44:06.7+00","t","t","f","360.9","Iowa","Supreme Court of Iowa","Supreme Court of Iowa","http://www.iowacourts.gov/supreme_court/","1841-01-01",,"S","Lawbox",
"mspb",,,"",,"","2014-09-02 23:05:21.019+00","t","t","f","114.995","MSPB","Merit Systems Protection Board","Merit Systems Protection Board","http://www.mspb.gov/",,,"FS","",
"nysurctoneida",,,"",,"","2024-01-10 17:14:59.719861+00","f","f","f","366.966519","N.Y. Surr. Ct., Oneida Cty.","Oneida Surrogate's Court","Surrogate's Court, Oneida County","",,,"ST","","nysurct"
"fld",,,"",,"","2023-10-03 01:23:43.864993+00","f","f","f","208.49","D. Fla.","D. Florida","District Court, D. Florida","","1845-03-03","1847-02-23","FD","https://en.wikipedia.org/wiki/List_of_former_United_States_district_courts#Florida","usdistct"
"gad",,,"",,"","2023-10-03 01:23:43.955163+00","f","f","f","208.59","D. Ga.","D. Georgia","District Court, D. Georgia","","1789-09-24","1848-08-11","FD","","usdistct"
"nysurctonond",,,"",,"","2024-01-10 17:14:59.722582+00","f","f","f","366.96652","N.Y. Surr. Ct., Onondaga Cty.","Onondaga Surrogate's Court","Surrogate's Court, Onondaga County","",,,"ST","","nysurct"
"nysurctorange",,,"",,"","2024-01-10 17:14:59.724997+00","f","f","f","366.966521","N.Y. Surr. Ct., Orange Cty.","Orange Surrogate's Court","Surrogate's Court, Orange County","",,,"ST","","nysurct"
"nysurctputnam",,,"",,"","2024-01-10 17:14:59.727691+00","f","f","f","366.966522","N.Y. Surr. Ct., Putnam Cty.","Putnam Surrogate's Court","Surrogate's Court, Putnam County","",,,"ST","","nysurct"
"nysurctqueens",,,"",,"","2024-01-10 17:14:59.730352+00","f","f","f","366.966523","N.Y. Surr. Ct., Queens Cty.","Queens Surrogate's Court","Surrogate's Court, Queens County","",,,"ST","","nysurct"
"nysurctrenssela",,,"",,"","2024-01-10 17:14:59.733038+00","f","f","f","366.966524","N.Y. Surr. Ct., Rensselaer Cty.","Rensselaer Surrogate's Court","Surrogate's Court, Rensselaer County","",,,"ST","","nysurct"
"nysurctrichmond",,,"",,"","2024-01-10 17:14:59.735564+00","f","f","f","366.966525","N.Y. Surr. Ct., Richmond Cty.","Richmond Surrogate's Court","Surrogate's Court, Richmond County","",,,"ST","","nysurct"
"iowactapp",,,"",,"","2014-08-01 18:44:13.293+00","t","t","f","361","Iowa Ct. App.","Court of Appeals of Iowa","Court of Appeals of Iowa","http://www.iowacourts.gov/court_of_appeals/","1976-07-01",,"SA","Lawbox",
"kan",,,"",,"","2014-08-01 19:03:19.219+00","t","t","f","362.1","Kan.","Supreme Court of Kansas","Supreme Court of Kansas","http://www.kscourts.org/kansas-courts/supreme-court/","1854-01-01",,"S","Lawbox",
"kanag",,,"",,"","2016-05-18 20:06:01.719+00","t","f","f","362.21","Kan. Att'y Gen.","Kansas Attorney General Reports","Kansas Attorney General Reports","http://ag.ks.gov/about-the-office/contact-us",,,"SAG","",
