id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,parent_court_id
"michsuperct",,,"",,"","2022-12-15 18:01:59.567248+00","f","f","f","365.12","Mich. Super. Ct.","Michigan Superior Courts","Michigan Superior Courts","",,,"ST","",
"misschanceryct",,,"",,"","2022-12-15 18:01:59.583425+00","f","f","f","366.02","Miss. Chanc. Ct.","Mississippi Chancery Courts","Mississippi Chancery Courts","",,,"ST","",
"njoytermct",,,"",,"","2022-12-15 18:01:59.635417+00","f","f","f","366.81","","Court of Oyer And Terminer of New Jersey","Court of Oyer And Terminer of New Jersey","",,,"ST","",
"wvactapp",,,"",,"","2024-01-09 19:29:35.436768+00","t","t","f","385.2","","Int. Ct. of App. of W.Va.","Intermediate Court of Appeals of West Virginia","","2022-07-01",,"SA","",
"me",,,"",,"","2025-02-26 18:01:21.453233+00","t","t","f","362.55","Me.","Supreme Judicial Court of Maine","Supreme Judicial Court of Maine","http://www.courts.state.me.us/maine_courts/supreme/","1830-01-01",,"S","Lawbox",
"oneidactapp",,,"",,"","2022-12-15 18:01:59.846551+00","t","f","f","654","","Oneida Appellate Court","Oneida Appellate Court","",,,"TRA","",
"tulalipctapp",,,"",,"","2022-12-15 18:01:59.892579+00","t","f","f","667","","Tulalip Court of Appeals","Tulalip Court of Appeals","",,,"TRA","",
"riviceadmct",,,"",,"","2022-12-15 18:01:59.881822+00","f","f","f","367.355","","Rhode Island Vice Admiralty Court","Rhode Island Vice Admiralty Court","",,,"SS","",
"slcregrec",,,"",,"","2022-12-15 18:01:59.887211+00","f","f","f","369.15","","Salt Lake City Register and Receiver","Salt Lake City Register and Receiver","",,,"SS","",
"uslandoffice",,,"",,"","2022-12-15 18:01:59.904401+00","f","f","f","114.601","US Land Office","United States Land Office","United States Land Office","",,,"FS","",
"ussurveyor",,,"",,"","2022-12-15 18:01:59.909962+00","f","f","f","114.602","","United States Surveyor","United States Surveyor","",,,"FS","",
"usprovctla",,,"",,"","2022-12-15 18:01:59.916015+00","f","f","f","362.503","","United States Provisional Court for the State of Louisiana","United States Provisional Court for the State of Louisiana","",,,"FS","",
"delgensess",,,"",,"","2022-12-19 18:57:17.923322+00","f","f","f","353.4","","Court of General Sessions of Delaware","Court of General Sessions of The Peace And Jail Delivery of Delaware","",,,"ST","",
"coregsalina",,,"",,"","2022-12-19 22:21:38.754637+00","f","f","f","351.15","","Salina Register and Receiver","Salina Register and Receiver","",,,"SS","",
"mdgenct",,,"",,"","2022-12-19 22:23:12.596317+00","f","f","f","362.65","Gen. Ct. Md.","General Court of Maryland","General Court of Maryland","","1778-01-01","1805-12-31","SS","",
"ala",,,"",,"","2023-01-06 19:30:36.039561+00","t","t","f","305","Ala.","Supreme Court of Alabama","Supreme Court of Alabama","http://judicial.alabama.gov/supreme.cfm","1819-01-01",,"S","Lawbox",
"philadeptjust",,,"",,"","2023-10-03 01:23:43.511238+00","f","f","f","114.541","Phila. Dept. Just.","Philadelphia Department of Justice","Philadelphia Department of Justice","",,,"FS","","ag"
"almd","17","t","all",,"27","2023-10-03 01:23:43.599525+00","t","f","f","201","M.D. Ala.","M.D. Alabama","District Court, M.D. Alabama","http://www.almd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"alactapp",,,"",,"","2023-01-06 19:31:10.474279+00","t","f","f","306","Ala. Ct. App.","Alabama Court of Appeals","Alabama Court of Appeals","http://judicial.alabama.gov/","1911-01-01","1969-01-01","SA","Lawbox",
